Complete Availability,,,,,,,,,,
"WEEK OF SEPTEMBER 14, 2026",,,,,,,,,,
QTY,Plant Name,Size,Price 1,Price 2,Avail,Next Date,Ratings,,,
,Dianthus Scent First ® 'Coconut Surprise',2QT,6.08,7.12,65,,Fair Foliage,,,
,Dianthus EverBloom™ 'Watermelon Ice',2QT,6.08,7.12,8,,Fair Foliage,,,
,Dianthus Vivid™ 'Bright Light',2QT,6.08,7.12,95,,Fair Foliage,,,
,Dianthus carthusianorum,2QT,6.08,7.12,34,,Fair Foliage,,,
,Dianthus cruentus,2QT,6.08,7.12,178,,Fair Foliage,,,
,Dianthus petraeus,2QT,6.08,7.12,44,,Fair Foliage,,,
,Dianthus superbus,2QT,6.08,7.12,217,,Retail Foliage,,,
,Dicentra Amore™ 'Titanium',#1,8.68,10.30,411,,"Blooming, Small Tops",,,
X,Dictamnus albus,1QT,6.03,7.23,0,Oct 5,,,,
,Digitalis ferruginea,#1,6.29,7.38,145,,Retail Foliage,,,
,Digitalis grandiflora 'Carillon',#1,6.29,7.38,16,,Retail Foliage,,,
,Digitalis purpurea 'Snow Thimble',#1,6.29,7.38,10,,Fair Foliage,,,
,Doellingeria umbellata LE,#1,7.59,9.00,442,Sep 28,Retail Foliage,,,
,Doellingeria umbellata LE,TRAY 50,77.50,77.50,43,,Ready,,,
,Dracocephalum argunense 'Fuji Blue',#1,6.29,7.38,122,,Retail Foliage,,,
,Echinacea KISMET® Red,#1,8.68,10.30,145,,Retail Foliage,,,
,Echinacea KISMET® Yellow,#1,8.68,10.30,12,,Retail Foliage,,,
,Echinacea p. 'Magnus',#1,6.29,7.38,697,,Retail Foliage,,,
X,Echinacea p. PowWow® 'White',#1,6.29,7.38,0,Sep 21,,,,
X,Echinacea p. PowWow ® 'Wild Berry',#1,6.29,7.38,0,Sep 21,,,,
,Echinacea p. 'Ruby Star',#1,6.29,7.38,1035,,Retail Foliage,,,
X,Echinacea p. 'White Swan',#1,6.29,7.38,0,Sep 21,,,,
X,Echinacea pallida,2QT,6.08,7.12,0,Sep 21,,,,
X,Echinacea purpurea,#1,6.29,7.38,0,Sep 21,,,,
,Echinops niveus 'Arctic Glow',#1,6.29,7.38,84,,Fair Foliage,,,
,Epimedium 'Amber Queen',2QT,9.62,11.39,45,Oct 19,Retail Foliage,,,
,Epimedium 'Sunny and Share',2QT,8.48,10.04,14,,Retail Foliage,,,
X,Epimedium grandiflorum 'Lilafee',2QT,9.62,11.39,0,Oct 19,,,,
,Epimedium grandiflorum 'Pretty in Pink',2QT,9.62,11.39,97,,Retail Foliage,,,
X,Epimedium grandiflorum 'Yubae',2QT,8.48,10.04,0,Oct 19,,,,
,Epimedium 'Bandit',1QT,8.32,9.93,214,,Retail Foliage,,,
,Epimedium 'Frohnleiten',2QT,8.48,10.04,707,,Retail Foliage,,,
,Epimedium ×versicolor 'Sulphureum',2QT,8.48,10.04,1669,,Retail Foliage,,,
,Epimedium 'Ellen Willmot',2QT,10.66,12.58,56,Oct 12,Retail Foliage,,,
,Epimedium x rubrum,2QT,8.48,10.04,1596,,Fair Foliage,,,
,Epimedium x youngianum 'Niveum',1QT,6.03,7.23,122,,Retail Foliage,,,
,Epimedium x youngianum 'Roseum',1QT,6.03,7.23,263,,Retail Foliage,,,
,Erigeron p. v. p. 'Lynnhaven Carpet',#1,7.59,9.00,154,,Retail Foliage,,,
,Eryngium × zabelii 'Big Blue',#1,8.68,10.30,333,,Small Looks Good,,,
,Eryngium p. 'Blue Glitter',#1,6.29,7.38,241,,Retail Foliage,,,
,Eryngium yuccifolium,#1,7.59,9.00,87,,Fair Foliage,,,
,Euonymus fortunei 'Kewensis',1QT,5.04,5.93,270,,Retail Foliage,,,
X,Eupatorium hyssopifolium LE,#1,7.59,9.00,0,Sep 21,,,,
,Eupatorium perfoliatum LE,#1,7.59,9.00,357,Oct 5,Retail Foliage,,,
,Eupatorium perfoliatum LE,TRAY 50,85.00,85.00,45,,Ready,,,
,Euphorbia polychroma,#1,6.29,7.38,165,,Cut Back,,,
,Eurybia divaricata LE,2QT,7.44,8.79,270,Oct 5,Bud & Bloom,,,
